Nr.,Njësitë,AKP ID,Çmimi më i Lartë,Ofertuesi_1,Çmimi_1,Ofertuesi_2,Çmimi_2,Ofertuesi_3,Çmimi_3,source_file,page_number,Zyret Regjionale
42,Njësia nr.42-KB Flora Tokë Bujqësore Repë II,PRN017,0.0,0,0.0,0,0.0,0,0.0,157F366C-F1DA-46BC-AF30-1910E9520F0F.pdf,1,
43,Njësia nr.43-KB Flora Toka në Pollatë,PRN017,0.0,0,0.0,0,0.0,0,0.0,157F366C-F1DA-46BC-AF30-1910E9520F0F.pdf,1,
44,Njësia nr.44-KB Bujku Ndërtesa Administrative,PRN145,27778.0,L07,27778.0,0,0.0,0,0.0,157F366C-F1DA-46BC-AF30-1910E9520F0F.pdf,1,
45,Njësia nr.45-Lavërtari Blegtori Tokë Bujqësore Batushë I,PRN004,11646.0,L26,11646.0,0,0.0,0,0.0,157F366C-F1DA-46BC-AF30-1910E9520F0F.pdf,1,
46,Njësia nr.46-Lavërtari Blegtori Tokë Bujqësore Batushë II,PRN004,0.0,0,0.0,0,0.0,0,0.0,157F366C-F1DA-46BC-AF30-1910E9520F0F.pdf,1,
47,Njësia nr.47-KB Kosova Tokë Bujqësore Breg i Zi,PRN082,16016.0,L02,16016.0,L05,8980.0,0,0.0,157F366C-F1DA-46BC-AF30-1910E9520F0F.pdf,1,
48,Njësia nr.48-KB Kosova Tokë Bujqësore Ribar i Vogël I,PRN082,0.0,0,0.0,0,0.0,0,0.0,157F366C-F1DA-46BC-AF30-1910E9520F0F.pdf,1,
49,Njësia nr.49-Tokë Bujqësore Llapashticë e Poshtme I,PRN028,0.0,0,0.0,0,0.0,0,0.0,157F366C-F1DA-46BC-AF30-1910E9520F0F.pdf,2,
50,Njësia nr.50-Tokë Bujqësore Llapashticë e Epërme,PRN028,0.0,0,0.0,0,0.0,0,0.0,157F366C-F1DA-46BC-AF30-1910E9520F0F.pdf,2,
51,Njësia nr.51-Tokë Bujqësore Llapashticë e Poshtme II,PRN028,0.0,0,0.0,0,0.0,0,0.0,157F366C-F1DA-46BC-AF30-1910E9520F0F.pdf,2,
52,Njësia nr.52-KB Kosova Tokë Bujqësore Livagjë II,PRN082,33300.0,L11,33300.0,0,0.0,0,0.0,157F366C-F1DA-46BC-AF30-1910E9520F0F.pdf,2,
53,Njësia nr.53-NSH Lavërtari-Blegtori Tokë bujqësore në Lubizhdë 12,PRZ009,39500.0,L01,39500.0,L16,25200.0,0,0.0,157F366C-F1DA-46BC-AF30-1910E9520F0F.pdf,2,
54,Njësia nr.54-NSH Lavërtari-Blegtori Tokë bujqësore në Caparc 2,PRZ009,0.0,0,0.0,0,0.0,0,0.0,157F366C-F1DA-46BC-AF30-1910E9520F0F.pdf,2,
55,Njësia nr.55-NSH Lavërtari-Blegtori Tokë bujqësore në Caparc 1,PRZ009,0.0,0,0.0,0,0.0,0,0.0,157F366C-F1DA-46BC-AF30-1910E9520F0F.pdf,2,
56,Njësia nr.56-NBI Rahoveci-Prona në Opterushë 1,PRZ011,0.0,0,0.0,0,0.0,0,0.0,157F366C-F1DA-46BC-AF30-1910E9520F0F.pdf,2,
57,Njësia nr.57-NBI Rahoveci-Prona në Opterushë 3,PRZ011,0.0,0,0.0,0,0.0,0,0.0,157F366C-F1DA-46BC-AF30-1910E9520F0F.pdf,2,
58,Njësia nr.58- NBI Rahoveci-Prona në Hoqë të Vogël 6,PRZ011,0.0,0,0.0,0,0.0,0,0.0,157F366C-F1DA-46BC-AF30-1910E9520F0F.pdf,2,
59,Njësia nr.59-NSH Zadruga Shtërpcë-Prona në Vrbesticë 7,GJI033,0.0,0,0.0,0,0.0,0,0.0,157F366C-F1DA-46BC-AF30-1910E9520F0F.pdf,2,
60,Njësia nr.60-NSH Zadruga Shtërpcë Prona në Vrbeshticë 9,GJI033,0.0,0,0.0,0,0.0,0,0.0,157F366C-F1DA-46BC-AF30-1910E9520F0F.pdf,2,
61,Njësia nr.61-NSH Zadruga Shtërpce-Prona në Jazince 2,GJI033,57391.0,L06,57391.0,L30,44999.0,L25,26010.0,157F366C-F1DA-46BC-AF30-1910E9520F0F.pdf,2,
62,Njësia nr.62-NBI Rahoveci Prona në Retijë 2,PRZ012,0.0,0,0.0,0,0.0,0,0.0,157F366C-F1DA-46BC-AF30-1910E9520F0F.pdf,2,
63,Njësia nr.63-NBI Rahoveci Prona në Retijë 3,PRZ013,0.0,0,0.0,0,0.0,0,0.0,157F366C-F1DA-46BC-AF30-1910E9520F0F.pdf,2,
64,Njësia nr.64-Shitorja në fshatin Kërstec,PRZ037,0.0,0,0.0,0,0.0,0,0.0,157F366C-F1DA-46BC-AF30-1910E9520F0F.pdf,2,
65,Njësia nr.65-NBI Rahoveci-Prona në Hoqë të Madhe 6,PRZ011,0.0,0,0.0,0,0.0,0,0.0,157F366C-F1DA-46BC-AF30-1910E9520F0F.pdf,2,
66,Njësia nr.66-NBI Rahoveci-Prona në Hoqë të Madhe 7,PRZ011,0.0,0,0.0,0,0.0,0,0.0,157F366C-F1DA-46BC-AF30-1910E9520F0F.pdf,2,
67,Njësia nr.67-NBI Rahoveci-Prona në Hoqë të Madhe 8,PRZ011,0.0,0,0.0,0,0.0,0,0.0,157F366C-F1DA-46BC-AF30-1910E9520F0F.pdf,2,
68,"Njësia nr.68-DTP Mlladost-Objekti nr.2, Sevce",GJI103,0.0,0,0.0,0,0.0,0,0.0,157F366C-F1DA-46BC-AF30-1910E9520F0F.pdf,2,
69,Njësia nr.69-NBI Rahoveci-Prona në Brestoc 4,PRZ011,0.0,0,0.0,0,0.0,0,0.0,157F366C-F1DA-46BC-AF30-1910E9520F0F.pdf,2,
70,Njësia nr.70-NBI Rahoveci-Prona në Brestoc 2,PRZ011,0.0,0,0.0,0,0.0,0,0.0,157F366C-F1DA-46BC-AF30-1910E9520F0F.pdf,2,
71,Njësia nr.71-Asetet e Luajtshme Rilindja Shtypshkronja,PRN100,91000.0,L29,91000.0,L22,77777.0,L31,76150.0,157F366C-F1DA-46BC-AF30-1910E9520F0F.pdf,2,
SHUMA TOTALE E PRANUAR NGA OFERTUESIT MË TË LARTË,,,1001489.0,,,,,,,157F366C-F1DA-46BC-AF30-1910E9520F0F.pdf,2,
TOTALI I OFERTAVE TE PRANUARA,,,48.0,,,,,,,157F366C-F1DA-46BC-AF30-1910E9520F0F.pdf,2,
1,Njësia nr.01: Agrokultura Stacioni i Vjetër i Veterinës,MIT002/1,1151000.0,L10,1151000.0,L23,1120000.0,L01,777789.0,5AE7104C-8724-490E-907B-871BD6A11C7F.pdf,1,
2,Njësia nr.02: Lux Lokali Ylberi në Mitrovicën Veriore,MIT039/67,185000.0,L55,185000.0,L52,126000.0,L33,66667.0,5AE7104C-8724-490E-907B-871BD6A11C7F.pdf,1,
3,Njësia nr.03: Lux Lokali Otex në Mitrovicën Veriore,MIT039/57,177777.0,L09,177777.0,L13,151000.0,L36,124499.0,5AE7104C-8724-490E-907B-871BD6A11C7F.pdf,1,
4,Njësia nr.04: Lux Lokali Teslla në Mitrovicën Veriore,MIT039/44,158000.0,L25,158000.0,L66,155612.0,L47,141000.0,5AE7104C-8724-490E-907B-871BD6A11C7F.pdf,1,
5,Njësia nr.05: Lux Lokali Mishtorja III në Mitrovicën Veriore,MIT039/49,108500.0,L21,108500.0,L56,105000.0,L32,77777.0,5AE7104C-8724-490E-907B-871BD6A11C7F.pdf,1,
6,Njësia nr.06: IMB Lokali 10 në Tunelin e Parë,MIT001/11,0.0,0,0.0,0,0.0,0,0.0,5AE7104C-8724-490E-907B-871BD6A11C7F.pdf,1,
7,Njësia nr.07: LUX Lokali Rudar në Tunelin e Parë,MIT039/4,0.0,0,0.0,0,0.0,0,0.0,5AE7104C-8724-490E-907B-871BD6A11C7F.pdf,1,
8,Njësia nr.08: Lux “Vetëshërbimi Tunel” në Tunel i Parë,MIT039/16,0.0,0,0.0,0,0.0,0,0.0,5AE7104C-8724-490E-907B-871BD6A11C7F.pdf,1,
9,Njësia nr.09: Agrokultura Depo në Bare,MIT002/8,0.0,0,0.0,0,0.0,0,0.0,5AE7104C-8724-490E-907B-871BD6A11C7F.pdf,1,
10,Njësia nr.10: Parcela 199-3 ZK Dranashiq,PEJ172/87,0.0,0,0.0,0,0.0,0,0.0,5AE7104C-8724-490E-907B-871BD6A11C7F.pdf,1,
11,Njësia nr.11: Mulliri në Gorazhdec,PEJ047/2,29999.0,L65,29999.0,L03,25555.0,L04,18100.0,5AE7104C-8724-490E-907B-871BD6A11C7F.pdf,1,
12,Njësia nr.12: Objekti dhe Parcela nr.625-0 në ZK Batushë,PEJ026/1,16170.0,L30,16170.0,L22,7777.0,0,0.0,5AE7104C-8724-490E-907B-871BD6A11C7F.pdf,1,
13,Njësia nr.13: Asetet e luajtshme të NSH Komel Batushë,PRN054/2,6666.0,L53,6666.0,0,0.0,0,0.0,5AE7104C-8724-490E-907B-871BD6A11C7F.pdf,1,
14,Njësia nr.15: Gazela Lokali në Prishtinë,PRN204/1,80875.0,L05,80875.0,0,0.0,0,0.0,5AE7104C-8724-490E-907B-871BD6A11C7F.pdf,1,
15,Njësia nr.16: NSH Ingeniering Asetet e luajtshme,PRN129,3777.0,L54,3777.0,0,0.0,0,0.0,5AE7104C-8724-490E-907B-871BD6A11C7F.pdf,1,
16,Njësia nr.17: Asetet e Gurëthyesit në Gadime,PRN051/1,0.0,0,0.0,0,0.0,0,0.0,5AE7104C-8724-490E-907B-871BD6A11C7F.pdf,1,
17,Njësia nr.18: Turist Kosova Lokali në Mitrovicë,PRN130/5,66000.0,L06,66000.0,0,0.0,0,0.0,5AE7104C-8724-490E-907B-871BD6A11C7F.pdf,1,
18,Njësia nr.19 Urata Lokali nr.25 në Dardani,PRN103/21,0.0,0,0.0,0,0.0,0,0.0,5AE7104C-8724-490E-907B-871BD6A11C7F.pdf,1,
19,Njësia nr.20: Monting Energetika Lokali në Prishtinë,PRN184/1,121250.0,L15,121250.0,L14,117250.0,0,0.0,5AE7104C-8724-490E-907B-871BD6A11C7F.pdf,1,
20,Njësia nr.21: IT Proleter Lokali në Dardani,PRN175/1,0.0,0,0.0,0,0.0,0,0.0,5AE7104C-8724-490E-907B-871BD6A11C7F.pdf,1,
21,Njësia nr.22: IMF Lokali nr.4 Podgoricë,PRN008/16,111111.0,L28,111111.0,L63,90500.0,L26,71500.0,5AE7104C-8724-490E-907B-871BD6A11C7F.pdf,1,
22,Njësia nr.23: IMF Lokali nr.5 Podgoricë,PRN008/16,85555.0,L29,85555.0,L41,62100.0,L27,55555.0,5AE7104C-8724-490E-907B-871BD6A11C7F.pdf,1,
23,"Njësia nr.24: NSh Sharrprodhimi - Shitorja në fshatin Kuk, Dragash",PRZ007/18,0.0,0,0.0,0,0.0,0,0.0,5AE7104C-8724-490E-907B-871BD6A11C7F.pdf,1,
24,"Njësia nr.25: NSh Sharrprodhimi - Shitorja në fshatin Baçkë, Dragash",PRZ007/12,0.0,0,0.0,0,0.0,0,0.0,5AE7104C-8724-490E-907B-871BD6A11C7F.pdf,1,
25,Njësia nr.26: NSH Zhupa-Recane– Shitorja nr.7 në Llokvicë,PRZ043/3,5000.0,L16,5000.0,0,0.0,0,0.0,5AE7104C-8724-490E-907B-871BD6A11C7F.pdf,1,
26,Njësia nr.27: NSH Stacioni i Veterinarisë Rahovec - Asetet e luajtshme,PRZ063/2,0.0,0,0.0,0,0.0,0,0.0,5AE7104C-8724-490E-907B-871BD6A11C7F.pdf,1,
,SHUMA TOTALE E PRANUAR NGA OFERTUESIT MË TË LARTË,,2306680.0,,,,,,,5AE7104C-8724-490E-907B-871BD6A11C7F.pdf,1,
,,,68.0,,,,,,,5AE7104C-8724-490E-907B-871BD6A11C7F.pdf,1,
,,GJI005/4,72000.0,L13,72000.0,0,0.0,0,0.0,9A02D67A-C4A9-44D8-87E9-ABC0C8813DFF.pdf,1,
2,Njësia nr.02: KB Novobërda Toka dhe Objekte,GJI142/1,24000.0,L32,24000.0,L03,5555.0,0,0.0,9A02D67A-C4A9-44D8-87E9-ABC0C8813DFF.pdf,1,ZR GJILAN
3,Njësia nr.03: IMB Lokali 10 në Tunelin e parë,MIT001/11,0.0,0,0.0,0,0.0,0,0.0,9A02D67A-C4A9-44D8-87E9-ABC0C8813DFF.pdf,1,
4,Njësia nr.04: Lux Lokali Rudar në Tunelin e Parë,MIT039/4,0.0,0,0.0,0,0.0,0,0.0,9A02D67A-C4A9-44D8-87E9-ABC0C8813DFF.pdf,1,
5,Njësia nr.05: Lux Vetëshërbimi Tunell në Tunelin e Parë,MIT039/16,0.0,0,0.0,0,0.0,0,0.0,9A02D67A-C4A9-44D8-87E9-ABC0C8813DFF.pdf,1,
6,Njësia nr.06: Çyçavica Lokali Lasta në Prelluzhë,MIT042/10,0.0,0,0.0,0,0.0,0,0.0,9A02D67A-C4A9-44D8-87E9-ABC0C8813DFF.pdf,1,ZR MITROVICË
7,Njësia nr.07: Çyçavica Lokali Sitnica në Prelluzhë,MIT042/11,0.0,0,0.0,0,0.0,0,0.0,9A02D67A-C4A9-44D8-87E9-ABC0C8813DFF.pdf,1,
8,Njësia nr.08: Agrokultura Depo në Bare,MIT002/8,0.0,0,0.0,0,0.0,0,0.0,9A02D67A-C4A9-44D8-87E9-ABC0C8813DFF.pdf,1,
9,Njësia nr.09: Kosovasirovina Parcela 04208-3 në Gjakovë,MIT025/18,105500.0,L24,105500.0,L41,105333.0,L31,84800.0,9A02D67A-C4A9-44D8-87E9-ABC0C8813DFF.pdf,1,
10,Njësia nr.10: Parcela nr. 941-2 në ZK Dujakë,PEJ029/200,0.0,0,0.0,0,0.0,0,0.0,9A02D67A-C4A9-44D8-87E9-ABC0C8813DFF.pdf,1,
11,Njësia nr.11: Parcela nr. 199/3 në Dranashiq,PEJ172/87,0.0,0,0.0,0,0.0,0,0.0,9A02D67A-C4A9-44D8-87E9-ABC0C8813DFF.pdf,1,ZR PEJË
12,Njësia nr.12: Parcelat nr. 252-2 dhe 252-3 afër Qendrës Zejtare në Pejë,PEJ139/75,132132.0,L21,132132.0,L23,55100.0,L35,51111.0,9A02D67A-C4A9-44D8-87E9-ABC0C8813DFF.pdf,1,
13,Njësia nr.13: BVI Për Mbrojtje Kundër Breshërit Lokali në Dardani,PRN171/2,193777.0,L05,193777.0,L30,141000.0,0,0.0,9A02D67A-C4A9-44D8-87E9-ABC0C8813DFF.pdf,1,
14,Njësia nr.14: Asetet e Gurëthyesit Gadime,PRN051/1,0.0,0,0.0,0,0.0,0,0.0,9A02D67A-C4A9-44D8-87E9-ABC0C8813DFF.pdf,1,
15,Njësia nr.15: Turist Kosova Lokali në Mitrovicë,PRN130/5,67000.0,L37,67000.0,L33,60299.0,L12,33050.0,9A02D67A-C4A9-44D8-87E9-ABC0C8813DFF.pdf,1,ZR PRISHTINË
16,Njësia nr.16: Mulliri Lokali në Obiliq,PRN113/5,31110.0,L17,31110.0,L16,19333.0,L25,10780.0,9A02D67A-C4A9-44D8-87E9-ABC0C8813DFF.pdf,1,
17,Njësia nr.17: Urata Lokali nr.25 në Dardani,PRN103/21,0.0,0,0.0,0,0.0,0,0.0,9A02D67A-C4A9-44D8-87E9-ABC0C8813DFF.pdf,1,
18,"Njësia nr.18: NSh “Sharrprodhimi” - Shitorja në fshatin Kuk, Dragash",PRZ007/18,10150.0,L40,10150.0,L28,8300.0,L29,7500.0,9A02D67A-C4A9-44D8-87E9-ABC0C8813DFF.pdf,1,
19,"Njësia nr.19: NSh “Sharrprodhimi” - Shitorja në fshatin Baçkë, Dragash",PRZ007/12,11257.0,L01,11257.0,L02,10428.0,0,0.0,9A02D67A-C4A9-44D8-87E9-ABC0C8813DFF.pdf,1,
20,Njësia nr.20: NSh Zhupa Recane-Shitorja nr.7 ne Llokvice,PRZ043/3,0.0,0,0.0,0,0.0,0,0.0,9A02D67A-C4A9-44D8-87E9-ABC0C8813DFF.pdf,1,
21,Njësia nr.21: NSh “IT Drateks” – Lokali afarist nr.4 në Dragash,PRZ032/004,0.0,0,0.0,0,0.0,0,0.0,9A02D67A-C4A9-44D8-87E9-ABC0C8813DFF.pdf,1,
22,Njësia nr.22: NSh Zhupa Recane-Shitorja nr.2 ne Drajciq,PRZ043/2,0.0,0,0.0,0,0.0,0,0.0,9A02D67A-C4A9-44D8-87E9-ABC0C8813DFF.pdf,1,ZR PRIZREN
23,"Njësia nr.23: NSh “Sharrprodhimi” - Shitorja në fshatin Bellobrad, Dragash",PRZ007/5,0.0,0,0.0,0,0.0,0,0.0,9A02D67A-C4A9-44D8-87E9-ABC0C8813DFF.pdf,1,
24,Njësia nr.24: NSh “Sharrprodhimi” - Lokali afarist Nr.4 në Dragash,PRZ007/14,0.0,0,0.0,0,0.0,0,0.0,9A02D67A-C4A9-44D8-87E9-ABC0C8813DFF.pdf,1,
25,"Njësia nr.25: NSh “Sharrprodhimi” - Shitorja në fshatin Buçe, Dragash",PRZ007/4,8100.0,L04,8100.0,0,0.0,0,0.0,9A02D67A-C4A9-44D8-87E9-ABC0C8813DFF.pdf,1,
SHUMA TOTALE E PRANUAR NGA OFERTUESIT MË TË LARTË,,,655026.0,0 €0 0 0 €0 0 0 €0,,,,,,9A02D67A-C4A9-44D8-87E9-ABC0C8813DFF.pdf,1,
TOTALI I OFERTAVE TE PRANUARA,,,41.0,€00 0 €00 0 €0,,,,,,9A02D67A-C4A9-44D8-87E9-ABC0C8813DFF.pdf,1,
1,Njësia nr.01-Agrokultura Toka në Gjilan (Lot O),GJI004,142240.0,L75,142240.0,L80,110000.0,L20,75906.0,03804350-CDDE-4B47-884D-E69BAE3AB274.pdf,1,
2,Njësia nr.02-Plantacioni Toka në Godancë të Poshtme (Lot A),GJI012,501000.0,L50,501000.0,L51,412256.0,L76,314900.0,03804350-CDDE-4B47-884D-E69BAE3AB274.pdf,1,
3,Njësia nr.03-Zhivko Vasic Toka në Petroc (Lot A),GJI027,15000.0,L91,15000.0,0,0.0,0,0.0,03804350-CDDE-4B47-884D-E69BAE3AB274.pdf,1,
4,Njësia nr.04-Agromorava Toka në Pozharan (Lot F),GJI035,5160.0,L84,5160.0,0,0.0,0,0.0,03804350-CDDE-4B47-884D-E69BAE3AB274.pdf,1,
5,Njësia nr.05-Pasuria Bujqësore Toka në Tankosiç (Lot C),GJI011,91220.0,L100,91220.0,L101,73000.0,0,0.0,03804350-CDDE-4B47-884D-E69BAE3AB274.pdf,1,
6,Njësia nr.06-Agromorava Toka në Sllatinë të Poshtme (Lot D),GJI035,0.0,0,0.0,0,0.0,0,0.0,03804350-CDDE-4B47-884D-E69BAE3AB274.pdf,1,
7,Njësia nr.07-PMN Sharr Toka në Bob (Lot A),GJI042,1600.0,L66,1600.0,0,0.0,0,0.0,03804350-CDDE-4B47-884D-E69BAE3AB274.pdf,1,
8,Njësia nr.08-Pasuria Bujqësore Toka në Pojatë (Lot D),GJI011,1318.0,L59,1318.0,0,0.0,0,0.0,03804350-CDDE-4B47-884D-E69BAE3AB274.pdf,1,
9,Njësia nr.09-Pasuria Bujqësore Toka në Rakaj (Lot C),GJI011,0.0,0,0.0,0,0.0,0,0.0,03804350-CDDE-4B47-884D-E69BAE3AB274.pdf,1,
10,Njësia nr.10-Agromorava Toka në Budrigë të Epërme (Lot B),GJI035,0.0,0,0.0,0,0.0,0,0.0,03804350-CDDE-4B47-884D-E69BAE3AB274.pdf,1,
11,Njësia nr.11-Agromorava Toka në Viti (Lot E),GJI035,0.0,0,0.0,0,0.0,0,0.0,03804350-CDDE-4B47-884D-E69BAE3AB274.pdf,1,
12,Njësia nr.12-Agrokultura Toka në Stançiq (Lot B),GJI004,0.0,0,0.0,0,0.0,0,0.0,03804350-CDDE-4B47-884D-E69BAE3AB274.pdf,1,
13,Njësia nr.13-Morava Partesh Toka në Cërnicë (Lot B),GJI018,0.0,0,0.0,0,0.0,0,0.0,03804350-CDDE-4B47-884D-E69BAE3AB274.pdf,1,
14,Njësia nr.14-Pasuria Bujqësore Toka në Pojatë (Lot B),GJI011,0.0,0,0.0,0,0.0,0,0.0,03804350-CDDE-4B47-884D-E69BAE3AB274.pdf,1,
15,Njësia nr.15-KB Zhegra Toka në Lladovë (Lot B),GJI024,0.0,0,0.0,0,0.0,0,0.0,03804350-CDDE-4B47-884D-E69BAE3AB274.pdf,1,
