single-post href,title
https://prishtinaonline.com/uploads/106_ndertimi_i_rruges_lidhese_sofali-kolovice_-_abedin_dino_faza_ii_-_pune_shtese_te_pa-parapara_23.06.2025.pdf,106 Construction of the Sofali-Kolovicë connecting road - Abedin Dino phase II - Unforeseen additional works 23.06.2025
https://prishtinaonline.com/uploads/loti_1-_sigurimi_fizik_i_ndertesave_komunale_dhe_shkollave_dhe_loti_2-_sigurimi_fizik_ne_objektet_shendetesore-_ri-tender_19.06.2025.pdf,Lot 1- Physical security of municipal buildings and schools and Lot 2- Physical security in health facilities- Re-tender 19.06.2025
https://prishtinaonline.com/uploads/ndertimi_dhe_renovimi_i_qendrave_te_ndryshme_sociale_ne_lagjet_kodra_e_trimave_tophane_qafa_aktashi_pejtoni_ulpiana_19.06.2025.pdf,"Construction and Renovation of Various Social Centers in the Neighborhoods of Kodra e Trimave, Tophane, Qafa, Aktashi, Pejtoni, “Ulpiana” 19.06.2025"
https://prishtinaonline.com/uploads/rekonstruimi_i_rruges_rexhep_luci_dhe_qamil_hoxha-_pune_e_paparapare_13.06.2025.pdf,Reconstruction of Rexhep Luci and Qamil Hoxha streets - Unprecedented work 13.06.2025
https://prishtinaonline.com/uploads/dezinsektimi_hapesinor_i_komunes_se_prishtines_negociuar_13.06.2025.pdf,Spatial disinfestation of the Municipality of Pristina – Negotiated 13.06.2025
https://prishtinaonline.com/uploads/sherbime_te_sigurimit_fizik_per_shtepine_e_te_moshuareve_dhe_pa_perkujdesje_familjare_12.06.2025.pdf,Physical Security Services for Nursing Homes and Non-Family Care 12.06.2025
https://prishtinaonline.com/uploads/38._furnizimi_me_material_higjenik_11.06.2025.pdf,38. Supply of hygienic material 11.06.2025
https://prishtinaonline.com/uploads/38._furnizimi_me_material_higjenik_10.06.2025.pdf,38. Supply of hygienic material 10.06.2025
https://prishtinaonline.com/uploads/ndertimi_i_rruges_a_-_pune_shtese_10.06.2025.pdf,Construction of Road A - additional work 10.06.2025
https://prishtinaonline.com/uploads/mirembajtja_e_sistemit_te_alarmit_publik_05.06.2025.pdf,Public Alarm System Maintenance 05.06.2025
https://prishtinaonline.com/uploads/ritender_furnizim_me_kompjuter_per_drejtorine_e_transformimit_dhe_urbanizmit_05.06.2025.pdf,Retender SUPPLY OF COMPUTERS FOR THE DIRECTORATE OF TRANSFORMATION AND URBANIZATION 05.06.2025
https://prishtinaonline.com/uploads/184_furnizim_per_zyre-material_administrativ_shendetesor_05.06.2025.pdf,184 Supply for Health Office-administrative material 05.06.2025
https://prishtinaonline.com/uploads/furnizim_me_material_pedagogjik_per_institucionet_edukativo-arsimore_iea_03.06.2025.pdf,Supply of pedagogical material for Educational Institutions (IEA) 03.06.2025
https://prishtinaonline.com/uploads/trajtimi_i_qeneve_endacak-ritender_02.06.2025.pdf,Treatment of stray dogs-Retender 02.06.2025
https://prishtinaonline.com/uploads/furnizimi_me_pajisje_mjekesore_per_qkmf_dhe_qmu_28.05.2025.pdf,Supply of medical equipment for QKMF and QMU 28.05.2025
https://prishtinaonline.com/uploads/ndertimi_i_rrethojave_per_siguri_ne_komunikacion_27.05.2025.pdf,Construction of traffic safety fences 27.05.2025
https://prishtinaonline.com/uploads/renovimi_i_objektit_te_komunees_se_prishtines_dhe_objektet_tjera_percjellese_komunale_21.05.2025.pdf,Renovation of the Pristina Municipality Building and other accompanying municipal facilities 21.05.2025
https://prishtinaonline.com/uploads/pastrimi_i_objekteve_per_rezidentet_e_shpmpf_21.05.2025.pdf,Cleaning of facilities for SHPMPF residents 21.05.2025
https://prishtinaonline.com/uploads/ofrimi_i_sherbimit_te_grumbullimit_transportit_dhe_deponimit_te_mbeturinave_loto_1_dhe_loto_2_kontrate_e_negociuar_20.05.2025.pdf,"Provision of waste collection, transport and disposal services loto 1 and loto 2 negotiated contract 20.05.2025"
https://prishtinaonline.com/uploads/ndertimi_i_tregjeve_te_gjelbra_20.05.2025.pdf,Construction of green markets 20.05.2025
https://prishtinaonline.com/uploads/sigurimi_fizik_per_objektet_shendetsore_per_6_muaj_20.05.2025.pdf,Physical insurance for health facilities for 6 months 20.05.2025
https://prishtinaonline.com/uploads/sanimi_i_plote_ne_hidroizolim_termoizolim_dhe_nderhyrje_ne_xhama_ne_dy_faza_ne_pallatin_e_rinise-_ritender_19.05.2025.pdf,"Complete renovation of waterproofing, thermal insulation and glass interventions in two phases at the Youth Palace - Retender 19.05.2025"
https://prishtinaonline.com/uploads/21_furnizimi_me_pelet-shpmpf_15.05.2025.pdf,21 Pellet supply-SHPMPF 15.05.2025
https://prishtinaonline.com/uploads/rregullimi_i_varrezave_te_martireve_dhe_deshmoreve_ne_fshatin_makoc-pune_shtese_ne_vitin_2025_15.05.2025.pdf,Arrangement of the cemeteries of martyrs and martyrs in the village of Makoc - additional work in 2025 15.05.2025
https://prishtinaonline.com/uploads/106._furnizimi_instalimi_dhe_mirembajtja_e_elektrikes_per_institucionet_edukative_arsimore_iea_14.05.2025.pdf,"106. Supply, installation and maintenance of electricity for Educational Institutions (IEA) 14.05.2025"
https://prishtinaonline.com/uploads/furnizimi_me_automjete_per_nevojat_e_qkmf-se_dhe_qmu-se_13.05.2025.pdf,Supply of vehicles for the needs of QKMF and QMU 13.05.2025
https://prishtinaonline.com/uploads/pajisje_personale_beteri_rimbushese_13.05.2025.pdf,Personal rechargeable battery equipment 13.05.2025
https://prishtinaonline.com/uploads/sherbime_psikiatrike_per_nevojat_e_rezidenteve_-_shpmpf_-_ritender_13.05.2025.pdf,Psychiatric services for the needs of residents - SHPMPF - RITENDER 13.05.202
https://prishtinaonline.com/uploads/eficienca_e_energjise_ne_ndertesa_publike_ne_prishtine_13.05.2025.pdf,Energy efficiency in public buildings in Pristina 13.05.2025
https://prishtinaonline.com/uploads/intervenimet_infrastrukturore_ne_tere_teritorin_e_komunes_se_prishtines_lot_6_pune_shtese_-_ritender_12.05.2025.pdf,"Infrastructure interventions throughout the territory of the Municipality of Pristina, Lot 6 – Additional works - RETENDER 12.05.2025"
https://prishtinaonline.com/uploads/32_furnizim_me_material_higjienik_dhe_leter_higjenike_per_shpmp-ne_08.05.2025.pdf,32 Supply of hygiene materials and toilet paper for the SHPMP 08.05.2025
https://prishtinaonline.com/uploads/4_furnizimi_me_material_higjienik_per_iea-se_08.05.2025.pdf,4 Supply of hygiene materials for IEA 08.05.2025
https://prishtinaonline.com/uploads/ndertimi_i_rruges_bajram_bahtiri_faza_e_ii-te_ritender_08.05.2025.pdf,Construction of Bajram Bahtiri Road Phase II Retender 08.05.2025
https://prishtinaonline.com/uploads/servisimi_dhe_mirembajtja_e_makinave_industriale_per_larje_dhe_tharje_te_rrobave_te_rezidenteve-_shtepia_e_te_moshuareve_dhe_pa_perkujdesje_familjare-shpmpf-_ri-tender_08.05.2025.pdf,Servicing and maintenance of industrial machines for washing and drying residents' clothes - Home for the Elderly and Without Family Care - SHPMPF - Re-tender 08.05.2025
https://prishtinaonline.com/uploads/106_instalimi_i_elektrikes_-servisimi_i_gjeneratoreve_07.05.2025.pdf,106 Electrical installation - generator servicing 07.05.2025
https://prishtinaonline.com/uploads/17_furnizimi_dhe_mirembajtja_e_klimatizimitngrohjes_qendrore_per_objektet_e_komunale_07.05.2025.pdf,"17 Supply and maintenance of air conditioning, central heating for municipal facilities 07.05.2025"
https://prishtinaonline.com/uploads/furnizimi_me_pjata_te_aluminit_per_sherbimin_e_shujtes_se_ngrohte_per_familjet_e_sns-se_07.05.2025.pdf,Supply of aluminum plates for serving hot meals to SNS families 07.05.2025
https://prishtinaonline.com/uploads/furnizim_me_paisje_teknologjike_per_shpmpf-ne_07.05.2025.pdf,Supply of technological equipment for SHPMPF 07.05.2025
https://prishtinaonline.com/uploads/perkujdesi_dhe_mmirembajtja_e_shendetit_te_kafsheve_shtepiake-gjedhedele_dhi_dhe_qene_me_pronar_07.05.2025.pdf,"Care and maintenance of the health of domestic animals - cattle, sheep, goats and dogs with owner 07.05.2025"
https://prishtinaonline.com/uploads/furnizim_me_material_teknik_per_mirembajtje_per_shtepine_e_te_moshuarve_dhe_pa_perkujdesje_familjare_30.04.2025.pdf,Supply of technical material for maintenance for the Nursing Home and without family care 30.04.2025
https://prishtinaonline.com/uploads/furnizim_me_veshmbathje_batanije_dhe_uniforma_per_shtepine_e_te_moshuarve_dhe_pa_perkujdesje_familjare_30.04.2025.pdf,"Supply of clothing, blankets and uniforms for the Home for the Elderly and Without Family Care 30.04.2025"
https://prishtinaonline.com/uploads/artikujt_per_higjiene_dhe_mirembajtje_per_nevojat_e_zjarrfikesve_30.04.2025.pdf,Hygiene and maintenance items for firefighters' needs 30.04.2025
https://prishtinaonline.com/uploads/mirembajtja_dimerore_e_rrugeve_dhe_trotuareve_debllokimi_i_kanalizimit_atmosferik_heqja_e_bores_fshirja_e_mbeturinave_dhe_larja_sipas_kushteve_-_lot_7_24.04.2025.pdf,"Winter Maintenance of Roads and Sidewalks, Unblocking of Atmospheric Sewerage (snow removal, garbage removal and washing according to conditions) - LOT 7 24.04.2025"
https://prishtinaonline.com/uploads/86_asistenca_per_rastet_emergjente_per_kategorite_ne_nevoja_sociale_24.04.2025.pdf,86 Emergency assistance for categories in social need 24.04.2025
https://prishtinaonline.com/uploads/servisimi_mirembajtja_dhe_furnizimi_me_pjese_rezerve_per_ngrohje_qendrore_dhe_panele_solare_-_shtepia_e_te_moshuareve_dhe_pa_perkujdesje_familjare-shpmpf_24.04.2025.pdf,"Servicing, maintenance and supply of spare parts for central heating and solar panels - Home for the Elderly and Without Family Care-SHPMPF 24.04.2025"
https://prishtinaonline.com/uploads/sherbime_per_aftesim_per_patente_shofere_te_kategorise_c_per_pjestaret_e_brigades_zjarrefikese_ne_prishtine_24.04.2025.pdf,Training services for category C driver's license for members of the Fire Brigade in Pristina 24.04.2025
https://prishtinaonline.com/uploads/furnizim_me_uje_te_pijes_24.04.2025.pdf,Drinking water supply 24.04.2025
https://prishtinaonline.com/uploads/36._furnizimi_me_invertar_teknik_e_bardhe_dhe_kondicionerklima_shpmpf_23.04.2025.pdf,"36. Supply of inverter, white goods and air conditioner (air conditioning) SHPMPF 23.04.2025"
https://prishtinaonline.com/uploads/30._furnizimi_dhe_montimi_me_pompa_termike._shtepia_e_te_moshuareve_dhe_pa_perkujdesje_familjare-shpmp_16.04.2025.pdf,30. Supply and installation of heat pumps. Home for the Elderly and Homeless-SHPMP 16.04.2025
https://prishtinaonline.com/uploads/paisje_rekuizita_sportive_15.04.2025.pdf,Sports Equipment 15.04.2025
https://prishtinaonline.com/uploads/furnizim_me_uje_per_bufene_e_komunes_se_prishtines_15.04.2025.pdf,Water supply for the cafeteria of the Municipality of Prishtina 15.04.2025
https://prishtinaonline.com/uploads/servisimi_i_automjeteve_per_shtepia_e_te_moshuarve_dhe_pa_perkujdesje_familjsare_-_shpmpf_15.04.2025.pdf,Vehicle servicing for Nursing Homes and without Family Care - SHPMPF 15.04.2025
https://prishtinaonline.com/uploads/servisimi_i_aparateve_kunder_zjarrit_11.04.2025.pdf,Fire extinguisher servicing 11.04.2025
https://prishtinaonline.com/uploads/sigurimi_dhe_kontrollimi_teknik_i_automjeteve_per_shpmpf_11.04.2025.pdf,Insurance and technical inspection of vehicles for SHPMPF 11.04.2025
https://prishtinaonline.com/uploads/20_furnizimi_me_pajisje_te_teknologjise_informative_04.04.2025.pdf,20 Supply of information technology equipment 04.04.2025
https://prishtinaonline.com/uploads/119_programi_per_ofrimin_e_sherbimeve_t_eenergjise_ne_ulje_te_shpenzimeve_financiare_ne_komunen_e_prishtines_sipa_ua_06_2021_04.04.2025.pdf,119 Program for the provision of energy services at reduced financial costs in the Municipality of Prishtina SIPA UA 06 2021 04.04.2025
https://prishtinaonline.com/uploads/transporti_i_nxeneseve_dhe_arsimtareve_ne_komunen_e_prishtines_18.03.2025.pdf,Transportation of students and teachers in the Municipality of Pristina 18.03.2025
https://prishtinaonline.com/uploads/97_ndertimi_i_nenkalimit_per_vetura_ne_rrugen_agim_ramadani_11.03.2025.pdf,97 Construction of an underpass for vehicles on Agim Ramadani Street 11.03.2025
https://prishtinaonline.com/uploads/sherbime_transporti_taxi_per_nevojat_e_stafit_te_komunes_se_prishtines_11.03.2025.pdf,Transportation services (TAXI) for the needs of the staff of the Municipality of Pristina 11.03.2025
https://prishtinaonline.com/uploads/36_ddd_objekteve_te_kpsh_10.03.2025.pdf,36 DDD facilities of the KPSH 10.03.2025
https://prishtinaonline.com/uploads/renovimi_i_rrjetit_te_ujesjellesit_kanalizimit_ne_nyjet_sanitare_ne_ieaa_dhe_objekte_tjera_komunale_26.02.2025.pdf,"Renovation of the water supply network, sewage in sanitary facilities in IEAA and other municipal facilities 26.02.2025"
https://prishtinaonline.com/uploads/b08_njoftim_per_dhenje_te_kontrates%20(882).pdf,Construction of the “7 Shtatori” school “Other works for the completion of the facility Phase II”-Retender 20.02.2025
https://prishtinaonline.com/uploads/b08_njoftim_per_dhenje_te_kontrates%20(881).pdf,36 DDD facilities of the KPSH 19.02.2025
https://prishtinaonline.com/uploads/b08_njoftim_per_dhenje_te_kontrates%20(880).pdf,Supply of fire extinguishers and their refilling 12.02.2025
https://prishtinaonline.com/uploads/b08_njoftim_per_dhenje_te_kontrates%20(879).pdf,Construction of fences and lighting of the football field of the Prishtina - Bërnica Football Club 12.02.2025
https://prishtinaonline.com/uploads/b08_njoftim_per_dhenje_te_kontrates%20(878).pdf,Supply of inverter for the needs of the Public Security Bureau Re-tender 10.02.2025
https://prishtinaonline.com/uploads/b08_njoftim_per_dhenje_te_kontrates%20(877).pdf,Drafting of low-rise construction projects 07.02.2025
https://prishtinaonline.com/uploads/b08_njoftim_per_dhenje_te_kontrates%20(877).pdf,Supply of fire extinguishers and their refilling 06.02.2025
https://prishtinaonline.com/uploads/b08_njoftim_per_dhenje_te_kontrates%20(876).pdf,Physical insurance for municipal facilities 6 months - Retender 06.02.2025
https://prishtinaonline.com/uploads/b08_njoftim_per_dhenje_te_kontrates%20(875).pdf,100 Construction of George Bush Square 31.01.2025
https://prishtinaonline.com/uploads/b08_njoftim_per_dhenje_te_kontrates%20(874).pdf,Transportation of students and teachers in the Municipality of Pristina 27.01.2025
https://prishtinaonline.com/uploads/b08_njoftim_per_dhenje_te_kontrates%20(873).pdf,Transport of documentation to the warehouse-Archive 22.01.2025
https://prishtinaonline.com/uploads/b08_njoftim_per_dhenje_te_kontrates%20(872).pdf,Construction of Road A - additional work 16.01.2025
https://prishtinaonline.com/uploads/b08_njoftim_per_dhenje_te_kontrates_1%20(340).pdf,"Supply, installation and maintenance of equipment for the entry-exit system and camera system 31.12.2024"
https://prishtinaonline.com/uploads/b08_njoftim_per_dhenje_te_kontrates%20(871).pdf,Construction of Road A - additional work 31.12.2024
https://prishtinaonline.com/uploads/b08_njoftim_per_dhenje_te_kontrates%20(870).pdf,44 Implementation of the School Safety Plan 27.12.2024
https://prishtinaonline.com/uploads/b08_njoftim_per_dhenje_te_kontrates%20(869).pdf,Construction of the road in Gllogovica - Gregjenik 24.12.2024
https://prishtinaonline.com/uploads/b08_njoftim_per_dhenje_te_kontrates_1%20(339).pdf,79 Arrangement of yards and sports fields-Retender 23.12.2024
https://prishtinaonline.com/uploads/b08_njoftim_per_dhenje_te_kontrates%20(868).pdf,Construction of the Municipal Archives building with accompanying infrastructure 23.12.2024
https://prishtinaonline.com/uploads/b08_njoftim_per_dhenje_te_kontrates%20(867).pdf,"Renovations for various Social Centers in the neighborhoods of Kodra eTrimave, Tophane, Qafa, Aktash, Pejton and Ulpiana - additional work 20.12.2024"
https://prishtinaonline.com/uploads/b08_njoftim_per_dhenje_te_kontrates%20(866).pdf,75 Renovation and adjustment of infrastructure - Home for the Elderly and People without Family Care - SHPMPF 19.12.2024
https://prishtinaonline.com/uploads/b08_njoftim_per_dhenje_te_kontrates%20(865).pdf,Hosting and maintenance of the Prishtina-Online website 17.12.2024
https://prishtinaonline.com/uploads/b08_njoftim_per_dhenje_te_kontrates_1%20(338).pdf,"""Reconstruction of the roof and other structures of the Dodona Theater"" - Retender 12.12.2024"
https://prishtinaonline.com/uploads/b08_njoftim_per_dhenje_te_kontrates%20(863).pdf,"Road construction (Bardhok Biba, Qemal Stafa, Plava and Agron Rama in Shkabaj) - additional work 12.12.2024"
https://prishtinaonline.com/uploads/b08_njoftim_per_dhenje_te_kontrates_1%20(336).pdf,26 Other purchases of goods for the annex of IP “Ardhmëria” and “Xixëllonjat” 11.12.2024
https://prishtinaonline.com/uploads/b08_njoftim_per_dhenje_te_kontrates%20(862).pdf,Artistic and Infrastructural Renovation of the “DARDANI” Spinal Tunnel - Additional Work 11.12.2024
https://prishtinaonline.com/uploads/b08_njoftim_per_dhenje_te_kontrates_1%20(335).pdf,Construction of the Library on Kodër te Trimave 10.12.2024
https://prishtinaonline.com/uploads/b08_njoftim_per_dhenje_te_kontrates%20(861).pdf,"79 93 Renovation and arrangement of municipal spaces for the needs of the community Construction of playgrounds and sports fields in the Municipality of Prishtina; Construction of football fields in Bardhosh, Barilevë, Matiqan and Bërnica 10.12.2024"
https://prishtinaonline.com/uploads/b08_njoftim_per_dhenje_te_kontrates_1%20(334).pdf,Road construction in the village of Mramor - additional work 10.12.2024
https://prishtinaonline.com/uploads/b08_njoftim_per_dhenje_te_kontrates%20(860).pdf,Physical security of the KPSH facilities in Pristina - negotiated - Retender - 02.12.2024 10.12.2024
https://prishtinaonline.com/uploads/b08_njoftim_per_dhenje_te_kontrates%20(859).pdf,Artistic and Infrastructural Renovation of the “DARDANI” Spinal Tunnel - Additional Work 09.12.2024
https://prishtinaonline.com/uploads/b08_njoftim_per_dhenje_te_kontrates_2%20(102).pdf,Construction of the collector of the extension of road B (phase 4) - unforeseen works 06.12.2024
https://prishtinaonline.com/uploads/b08_njoftim_per_dhenje_te_kontrates%20(858).pdf,Construction of a public slaughterhouse 06.12.2024
https://prishtinaonline.com/uploads/b08_njoftim_per_dhenje_te_kontrates%20(857).pdf,Construction of the October 1 connecting road with Isa Kastrati street – additional work 06.12.2024
https://prishtinaonline.com/uploads/b08_njoftim_per_dhenje_te_kontrates%20(856).pdf,"122 Construction, expansion and modernization of the public lighting network 05.12.2024"
https://prishtinaonline.com/uploads/b08_njoftim_per_dhenje_te_kontrates_1%20(333).pdf,141 Supply of hygiene and maintenance items Retender 04.12.2024
https://prishtinaonline.com/uploads/b08_njoftim_per_dhenje_te_kontrates%20(855).pdf,62 Emergency stairs for schools in the Capital 04.12.2024
https://prishtinaonline.com/uploads/b08_njoftim_per_dhenje_te_kontrates_2%20(101).pdf,Construction of road B - fourth phase 02.12.2024
https://prishtinaonline.com/uploads/b08_njoftim_per_dhenje_te_kontrates%20(854).pdf,Construction of the collector for the extension of road B (phase 4) - contract annex 02.12.2024
https://prishtinaonline.com/uploads/b08_njoftim_per_dhenje_te_kontrates_1%20(332).pdf,Construction of the wings of Muharrem Fejza Street - additional work 27.11.2024
https://prishtinaonline.com/uploads/b08_njoftim_per_dhenje_te_kontrates%20(853).pdf,Supply of pedagogical material - Lot 2 27.11.2024
https://prishtinaonline.com/uploads/b08_njoftim_per_dhenje_te_kontrates%20(852).pdf,Gravel treatment in the villages of the municipality of Prishtina - Lot 1 - Additional work 26.11.2024
https://prishtinaonline.com/uploads/b08_njoftim_per_dhenje_te_kontrates%20(851).pdf,76 Construction of the Center for Social Work 25.11.2024
https://prishtinaonline.com/uploads/b08_njoftim_per_dhenje_te_kontrates%20(850).pdf,Physical security of the KPSH facilities in Pristina - negotiated - Retender 22.11.2024
https://prishtinaonline.com/uploads/b08_njoftim_per_dhenje_te_kontrates%20(849).pdf,"Deratization, Disinfection, DDD Disinfection at SHPMPF 21.11.2024"
https://prishtinaonline.com/uploads/b08_njoftim_per_dhenje_te_kontrates%20(848).pdf,Construction and Renovation of Toy Corners in the Neighborhoods of the Capital - Retender 19.11.2024
https://prishtinaonline.com/uploads/b08_njoftim_per_dhenje_te_kontrates%20(847).pdf,Construction of the school in the Calabria neighborhood - Additional and unforeseen work - Negotiated 18.11.2024
https://prishtinaonline.com/uploads/b08_njoftim_per_dhenje_te_kontrates%20(846).pdf,"Construction of the park in the ""Kalabria"" neighborhood, phase III, 15.11.2024"
https://prishtinaonline.com/uploads/b08_njoftim_per_dhenje_te_kontrates%20(845).pdf,"Retender - SUMMER, WINTER DECORATION AND NOTE OF IMPORTANT DATES 14.11.2024"
https://prishtinaonline.com/uploads/b08_njoftim_per_dhenje_te_kontrates%20(844).pdf,132 Supply of agricultural machinery - LOT1 and LOT2 12.11.2024
https://prishtinaonline.com/uploads/b08_njoftim_per_dhenje_te_kontrates_1%20(331).pdf,"Infrastructure Interventions - Zonal division into 6 zones, throughout the territory of the Municipality of Pristina 11.11.2024"
https://prishtinaonline.com/uploads/b08_njoftim_per_dhenje_te_kontrates%20(843).pdf,Servicing and maintenance of Generators at SHPMPF 11.11.2024
https://prishtinaonline.com/uploads/b08_njoftim_per_dhenje_te_kontrates%20(842).pdf,25 Supply of equipment for the Capital Emergency Operations Center (CEOC) 07.11.2024
https://prishtinaonline.com/uploads/b08_njoftim_per_dhenje_te_kontrates%20(841).pdf,Reconstruction of Rexhep Luci and Qamil Hoxha streets 06.11.2024
https://prishtinaonline.com/uploads/b08_njoftim_per_dhenje_te_kontrates_1%20(330).pdf,Construction and assembly of kiosks - additional work 31.10.2024
https://prishtinaonline.com/uploads/b08_njoftim_per_dhenje_te_kontrates%20(840).pdf,Organization of the workshop for the drafting of the School Safety Plan - re-tender 31.10.2024
https://prishtinaonline.com/uploads/b08_njoftim_per_dhenje_te_kontrates%20(839).pdf,Cleaning of educational facilities of the Municipality of Pristina – LOTO 1 and LOTO 2 30.10.2024
https://prishtinaonline.com/uploads/b08_njoftim_per_dhenje_te_kontrates_1%20(329).pdf,Supply of school inventory for items not in AQP-Metal locker 25.10.2024
